Rank,Nation,Gold,Silver,Bronze,Total
1,Germany,11,12,6,29
2,United States,9,9,7,25
3,Austria,9,7,7,23
4,Russia,8,6,8,22
5,Canada,7,10,7,24
6,Sweden,7,2,5,14
7,South Korea,6,3,2,11
8,Switzerland,5,4,5,14
9,Italy*,5,0,6,11
10,France,3,2,4,9
10,Netherlands,3,2,4,9
12,Estonia,3,0,0,3
13,Norway,2,8,9,19
14,China,2,4,5,11
15,Czech Republic,1,2,1,4
16,Croatia,1,2,0,3
17,Australia,1,0,1,2
18,Japan,1,0,0,1
19,Finland,0,6,3,9
20,Poland,0,1,1,2
21,Belarus,0,1,0,1
21,Bulgaria,0,1,0,1
21,Great Britain,0,1,0,1
21,Slovakia,0,1,0,1
25,Ukraine,0,0,2,2
26,Latvia,0,0,1,1
Totals (26 entries),Totals (26 entries),84,84,84,252
