Afghanistan, 6
Albania, 8
Algeria, 45
American Samoa, 2
Andorra, 2
Angola, 24
Antigua and Barbuda, 5
Argentina, 136
Armenia, 15
Aruba, 6
Australia, 460
Austria, 81
Azerbaijan, 47
Bahamas, 18
Bahrain, 14
Bangladesh, 5
Barbados, 4
Belgium, 165
Belize, 1
Benin, 5
Bermuda, 8
Bhutan, 3
Bolivia, 4
Bosnia and Herzegovina, 5
Botswana, 13
Brazil, 277
Brunei Darussalam, 3
Bulgaria, 46
Burkina Faso, 8
Burundi, 7
Cabo Verde, 7
Cambodia, 3
Cameroon, 6
Canada, 316
Cayman Islands, 4
Central African Republic, 4
Chad, 3
Chile, 48
Chinese Taipei, 60
Colombia, 88
Comoros, 4 
Congo, 4
Cook Islands, 2
Costa Rica, 6
Croatia, 73
Cuba, 61
Cyprus, 15
Czechia, 112
Cote d'Ivoire, 13
Democratic People's Republic of Korea, 16
Democratic Republic of Timor-Leste, 4
Democratic Republic of the Congo, 6
Denmark, 123
Djibouti, 7
Dominica, 4
Dominican Republic, 57
Ecuador, 40
Egypt, 149
El Salvador, 8
Equatorial Guinea, 3
Eritrea, 13
Estonia, 24
Eswatini, 3
Ethiopia, 32
Federated States of Micronesia, 3
Fiji, 33
Finland, 56
France, 572
Gabon, 5
Gambia, 7
Georgia, 28
Germany, 427
Ghana, 8
Great Britain, 327
Greece, 101
Grenada, 6
Guam, 8
Guatemala, 16
Guinea , 24
Guinea-Bissau, 6
Guyana, 5
Haiti, 7
Honduras, 4
Hong Kong, 34
Hungary, 169
Iceland, 5
India, 110
Indonesia, 29
Iraq, 22
Ireland, 133
Islamic Republic of Iran, 39
Israel, 87
Italy, 380
Jamaica, 63
Japan, 410
Jordan, 12
Kazakhstan, 79
Kenya, 70
Kiribati, 3
Kosovo, 9
Kuwait, 9
Kyrgyzstan, 16
Lao People's Democratic Republic, 4
Latvia, 29
Lebanon, 10
Lesotho, 3
Liberia, 8
Libya, 6
Liechtenstein, 1
Lithuania, 50
Luxembourg, 13
Madagascar, 7
Malawi, 3
Malaysia, 26
Maldives, 5
Mali, 23
Malta, 5
Marshall Islands, 4
Mauritania, 2
Mauritius, 13
Mexico, 106
Monaco, 6
Mongolia, 32
Montenegro, 19
Morocco, 60
Mozambique, 7
Myanmar, 2
Namibia, 4
Nauru, 1
Nepal, 7
Netherlands, 276
New Zealand, 195
Nicaragua, 7
Niger, 7
Nigeria, 85
North Macedonia, 7
Norway, 105
Oman, 4
Pakistan, 7
Palau, 3
Palestine, 8
Panama, 8
Papua New Guinea, 6
Paraguay, 28
People's Republic of China, 388
Peru, 26
Philippines, 22
Poland, 214
Portugal, 73
Puerto Rico, 51
Qatar, 14
Refugee Olympic Team, 37
Republic of Korea, 141
Republic of Moldova, 25
Romania, 107
Rwanda, 8
Saint Kitts and Nevis, 3
Saint Lucia, 4
Samoa, 24
San Marino, 5
Sao Tome and Principe, 3
Saudi Arabia, 9
Senegal, 11
Serbia, 112
Seychelles, 3
Sierra Leone, 5
Singapore, 23
Slovakia, 28
Slovenia, 90
Solomon Islands, 3
Somalia, 1
South Africa, 138
South Sudan, 14
Spain, 382
Sri Lanka, 6
St Vincent and the Grenadines, 4
Sudan, 4
Suriname, 5
Sweden, 117
Switzerland, 127
Syrian Arab Republic, 6
Tajikistan, 14
Thailand, 51
Togo, 5
Tonga, 4
Trinidad and Tobago, 17
Tunisia, 27
Turkmenistan, 6
Tuvalu, 2
Turkey, 100
Uganda, 25
Ukraine, 140
United Arab Emirates, 13
United Republic of Tanzania, 7
United States of America, 594
Uruguay, 25
Uzbekistan, 86
Vanuatu, 6
Venezuela, 32
Vietnam, 16
British Virgin Islands, 4
US Virgin Islands, 5
Yemen, 4
Zambia, 28
Zimbabwe, 7
Individual Neutral Athletes from Russia and Belarus, 31
